OFF_FR,CIQUAL_FR,CIQUAL_INDEX_FR,OFF_EN,CIQUAL_EN,OFF_ID,CIQUAL_ID
Lait de chevre demi-écrémé,"Lait de chèvre, demi-écrémé, UHT",Lait de chèvre,Semi-skimmed goat's milk,"Goat milk, half skimmed, UHT pasteurized",en:semi-skimmed-goat-s-milk,19201
Lait demi-écrémé,"Lait demi-écrémé, UHT",Lait demi-écrémé,Semi-skimmed milk,"Milk, semi-skimmed, UHT",en:semi-skimmed-milk,19041
Semoule de blé dur demi-complète. semoule semi-complète de blé dur,"Semoule de blé dur, crue","Semoule de blé dur, crue",Semi-whole durum wheat semolina,"Durum wheat semolina, raw",en:semi-whole-durum-wheat-semolina,9610
Semoule,"Semoule de blé dur, crue","Semoule de blé dur, crue",Semolina,"Durum wheat semolina, raw",en:semolina,9610
Sésame,"Sésame, graine","Sésame, graine",Sesame,Sesame seed,en:sesame,15010
Sésame,"Sésame, graine décortiquée","Sésame, graine décortiquée",Sesame,"Sesame seed, husked",en:sesame,15035
Huile de sésame,Huile de sésame,Huile de sésame,Sesame oil,Sesame oil,en:sesame-oil,17400
Pâte de sésame,Tahin ou Purée de sésame,Tahin ou Purée de sésame,Sesame paste,Tahini (sesame paste),en:sesame-paste,15203
Graine de sésame,"Sésame, graine","Sésame, graine",Sesame seeds,Sesame seed,en:sesame-seeds,15010
Échalote,"Échalote, crue","Échalote, crue",Shallot,"Shallot, raw",en:shallot,20097
Mouton,"Mouton, tête, crue","Mouton, tête, crue",Sheep,"Sheep, head, raw",en:sheep,21005
Mouton,"Mouton, pied, cru","Mouton, pied, cru",Sheep,"Sheep, foot, raw",en:sheep,21004
Mouton,"Mouton, épaule, crue","Mouton, épaule, crue",Sheep,"Mutton, shoulder, raw",en:sheep,21003
Mouton,"Mouton, viande, crue","Mouton, viande, crue",Sheep,"Mutton, meat, raw",en:sheep,21001
Mouton,"Mouton, gigot, cru","Mouton, gigot, cru",Sheep,"Mutton, leg, raw",en:sheep,21006
Fromages de brebis,Fromage de lactosérum de brebis,Fromage de lactosérum de brebis,Sheep's-milk cheese,"Cheese, from ewe's whey",en:sheep-s-milk-cheese,12828
Lait de brebis,"Lait de brebis, entier",Lait de brebis,Sheeps milk,"Sheep milk, whole",en:sheeps-milk,19250
Fruits de mer,Fruits de mer (aliment moyen),Fruits de mer,Shellfish,Crustacean or mollusk (average),en:shellfish,10043
Shiitake,"Champignon, lentin comestible ou shiitaké, séché","Shiitaké, séché",Shiitake,"Shiitake mushroom, dried",en:shiitake,20211
Shiitake,"Champignon, lentin comestible ou shiitaké, cuit","Shiitaké, cuit",Shiitake,"Shiitake mushroom, cooked",en:shiitake,20212
Pâte brisée,"Pâte brisée, crue","Pâte brisée, crue",Shortcrust dough,"Short crust pastry, raw",en:shortcrust-dough,23410
Crevette,"Crevette rose, crue","Crevette rose, crue",Shrimp,"deep water pink shrimp, raw",en:shrimp,10059
Crevette,"Crevette, crue","Crevette, crue",Shrimp,"Shrimp or prawn, raw",en:shrimp,10021
Crème liquide,"Crème de lait, 30% MG, semi-épaisse, UHT","Crème de lait, 30% MG, liquide, UHT",Single cream,"Liquid cream 30% fat, UHT",en:single-cream,19415
Crème liquide,"Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT","Crème de lait, 15 à 20% MG, légère, liquide, UHT",Single cream,"Liquid cream, light, 15-20% fat, UHT",en:single-cream,19430
Lait de chevre écrémé,"Lait de chèvre, demi-écrémé, UHT",Lait de chèvre,Skimmed goat's milk,"Goat milk, half skimmed, UHT pasteurized",en:skimmed-goat-s-milk,19201
Lait de chevre écrémé,"Lait écrémé, pasteurisé",Lait écrémé,Skimmed goat's milk,"Milk, skimmed, pasteurised",en:skimmed-goat-s-milk,19051
Lait de chevre écrémé,"Lait écrémé, UHT",Lait écrémé,Skimmed goat's milk,"Milk, skimmed, UHT",en:skimmed-goat-s-milk,19050
Lait écrémé,"Lait écrémé, UHT",Lait écrémé,Skimmed milk,"Milk, skimmed, UHT",en:skimmed-milk,19050
Lait en poudre écrémé,"Lait en poudre, écrémé","Lait en poudre, écrémé",Skimmed milk powder,"Milk, powder, skimmed",en:skimmed-milk-powder,19054
Thon listao,"Thon listao ou Bonite à ventre rayé, cru","Thon listao ou Bonite à ventre rayé, cru",Skipjack tuna,"Skipjack tuna, raw",en:skipjack-tuna,26068
Saumon Atlantique fumé,Saumon fumé,Saumon fumé,Smoked atlantic salmon,"Salmon, smoked",en:smoked-atlantic-salmon,26037
Lardons cuits fumés,"Lardon fumé, cuit","Lardon fumé, cuit",Smoked cooked lardoons,"Smoked lardoons, cooked",en:smoked-cooked-lardoons,28725
Lardon fumé,"Lardon fumé, cru","Lardon fumé, cru",Smoked lardoons,"Smoked lardoons, raw",en:smoked-lardoons,28720
Lardon fumé,"Lardon fumé, cuit","Lardon fumé, cuit",Smoked lardoons,"Smoked lardoons, cooked",en:smoked-lardoons,28725
Saumon fumé,Saumon fumé,Saumon fumé,Smoked salmon,"Salmon, smoked",en:smoked-salmon,26037
Escargot,"Escargot, cru","Escargot, cru",Snail,"Snail, raw",en:snail,10008
Pois croquants,"Pois mange-tout ou pois gourmand, cru","Pois mange-tout ou pois gourmand, cru",Snow pea,"Snow pea, raw",en:snow-pea,20173
Saumon rouge,"Saumon, cuit, sans précision (aliment moyen)",Saumon,Sockeye salmon,"Salmon, cooked (average)",en:sockeye-salmon,25996
Fromage à pâte molle au lait pasteurisé,"Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané)",Vieux Pané,Soft cheese made from pasteurized milk,"Soft-ripened washed-rind cheese, from pasteurised milk (Vieux pané-type cheese)",en:soft-cheese-made-from-pasteurized-milk,12047
Fromage frais,"Fromage frais type petit suisse, nature, 10% MG environ","Petit suisse, nature",Soft white cheese,"Petit-Suisse like fresh cream cheese, plain, around 9% fat",en:soft-white-cheese,19666
Fromage frais,"Fromage frais type petit suisse, nature, 4% MG environ","Petit suisse, nature",Soft white cheese,"Petit-Suisse, fresh cream cheese type, plain, around 4% fat",en:soft-white-cheese,19664
Fromage frais,"Fromage frais type petit suisse, nature, 0% MG","Petit suisse, nature, 0% MG",Soft white cheese,"Petit-Suisse, fresh cream cheese type, plain, fat free",en:soft-white-cheese,19663
Fromage frais,"Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche)",Crottin bûchette chèvre frais,Soft white cheese,"Cheese, from goat's milk, fresh",en:soft-white-cheese,12805
Fromage frais,"Fromage de chèvre frais, au lait cru (type palet ou crottin frais)",Palet ou crottin chèvre frais,Soft white cheese,"Cheese, from goat's milk, fresh, from raw milk",en:soft-white-cheese,12804
Fromage frais,"Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche)",Bûchette fraîche chèvre,Soft white cheese,"Cheese, from goat's milk, fresh, from pasteurised milk",en:soft-white-cheese,12800
Sole,"Sole, crue","Sole, crue",Sole,"Common sole, raw",en:sole,26058
Sole,"Limande-sole, crue","Limande-sole, crue",Sole,"Lemon sole, raw",en:sole,26135
Sole,"Sole tropicale ou Sole langue, crue","Sole tropicale ou Sole langue, crue",Sole,"Tonguesole, raw",en:sole,26200
Sorgho,"Sorgho entier, cru","Sorgho entier, cru",Sorghum,"Sorghum, whole, raw",en:sorghum,9360
Oseille,"Oseille, crue","Oseille, crue",Sorrel,"Sorrel, raw",en:sorrel,20111
Griotte,"Griotte, crue",Griotte,Sour cherry,"Morello cherry, raw",en:sour-cherry,13110
Lait fermenté,"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus","Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus",Soured milk,"Fermented milk or dairy specialty, yogurt type, plain, with bifidus",en:soured-milk,19546
Merlu du Cap,"Merlu blanc du Cap, surgelé, cru","Merlu blanc du Cap, cru",South African hake,"Shallow-water Cape hake, raw",en:south-african-hake,26233
Sauce au soja et au sésame,"Sauce soja, préemballée",Sauce soja,Soy and sesame sauce,"Soy sauce, prepacked",en:soy-and-sesame-sauce,11104
Lait de soja,"Boisson au soja, nature","Lait de soja, nature",Soy milk,"Soy drink, plain",en:soy-milk,18900
Préparation à base de soja,"Préparation culinaire à base de soja, type ""crème de soja""",crème de soja,Soy preparation,"Soy ""cream"" preparation",en:soy-preparation,11214
Sauce au soja,"Sauce soja, préemballée",Sauce soja,Soy sauce,"Soy sauce, prepacked",en:soy-sauce,11104
Soja,"Soja, graine entière","Soja, graine entière",Soya,"Soybean, whole grain",en:soya,20901
Lécithine de soja et de tournesol,Lécithine de soja,Lécithine de soja,Soya and sunflower lecithin,Soy lecithin,en:soya-and-sunflower-lecithin,42200
Lécithine de soja,Lécithine de soja,Lécithine de soja,Soya lecithin,Soy lecithin,en:soya-lecithin,42200
Huile de soja,Huile de soja,Huile de soja,Soya oil,Soy oil,en:soya-oil,17420
Vin mousseux,Vin blanc mousseux,Vin blanc mousseux,Sparkling wine,"Wine, white, sparkling",en:sparkling-wine,5201
Menthe verte,"Menthe, fraîche",Menthe,Spearmint,"Mint, fresh",en:spearmint,11027
Pain spécial,Pain (aliment moyen),Pain,Special bread,Bread (average),en:special-bread,7000
Spéculoos,Spéculoos,Spéculoos,Speculoos,Speculoos biscuit,en:speculoos,24009
Épeautre,"Épeautre, cru","Épeautre, cru",Spelt,"Spelt, raw",en:spelt,9001
Farine d'épeautre,Farine d'épeautre (grand épeautre),Farine d'épeautre,Spelt flour,Spelt flour,en:spelt-flour,9480
Épice,Epice (aliment moyen),Epice,Spice,Spice (average),en:spice,11081
Épinard,"Épinard, cru","Épinard, cru",Spinach,"Spinach, raw",en:spinach,20059
Sepiella inermis,"Seiche, crue","Seiche, crue",Spineless cuttlefish,"Cuttlefish, raw",en:spineless-cuttlefish,10016
Langouste rouge,"Langouste, crue","Langouste, crue",Spiny lobster,"Spiny lobster, raw",en:spiny-lobster,10015
Vinaigres d'alcool et de vin blanc,Vinaigre,Vinaigre,Spirit- and white wine vinegar,Vinegar,en:spirit-and-white-wine-vinegar,11018
Vinaigre d'eau-de-vie,Vinaigre,Vinaigre,Spirit vinegar,Vinegar,en:spirit-vinegar,11018
Spirulina,"Spiruline (Spirulina sp.), séchée ou déshydratée",Spiruline,Spirulina,"Spirulina, (spirulina sp.), dried",en:spirulina,11086
Concentré de spiruline,"Spiruline (Spirulina sp.), séchée ou déshydratée",Spiruline,Spirulina concentrate,"Spirulina, (spirulina sp.), dried",en:spirulina-concentrate,11086
Poudre de spiruline,"Spiruline (Spirulina sp.), séchée ou déshydratée",Spiruline,Spirulina powder,"Spirulina, (spirulina sp.), dried",en:spirulina-powder,11086
Pois cassés,"Pois cassé, sec","Pois cassé, sec",Split pea,"Split pea, dried",en:split-pea,20515
Miel de printemps,Miel,Miel,Spring honey,Honey,en:spring-honey,31008
Eau de source,"Eau de source, embouteillée (aliment moyen)",Eau de source,Spring water,"Water, bottled (average)",en:spring-water,18008
Calamar,"Calmar ou calamar ou encornet, cru","Calmar ou calamar ou encornet, cru",Squid,"Squid, raw",en:squid,10001
Amidon,Amidon de maïs ou fécule de maïs,Maizéna,Starch,Maize/corn starch,en:starch,9510
Amidon,Amidon de riz,Amidon de riz,Starch,Rice starch,en:starch,96781
Amidon,Fécule de pomme de terre,Fécule de pomme de terre,Starch,Potato starch,en:starch,4090
Lait stérilisé,"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",Lait,Sterilised milk,"Milk, fat content unknown, UHT sterilized",en:sterilised-milk,19039
Lait demi-écrémé stérilisé,"Lait demi-écrémé, UHT",Lait demi-écrémé,Sterilised semi-skimmed milk,"Milk, semi-skimmed, UHT",en:sterilised-semi-skimmed-milk,19041
Lait entier stérilisé,"Lait entier, UHT",Lait entier,Sterilised whole milk,"Milk, whole, UHT",en:sterilised-whole-milk,19023
Viandes de porc à l'étouffée,"Porc, viande, cuite (aliment moyen)",Porc,Stewed porc,"Pork, meat, cooked (average)",en:stewed-pork,28205
Volvaire volvacée,"Champignon, pleurote, crue",Pleurote,Straw mushroom,"Oyster mushroom, raw",en:straw-mushroom,20114
Fraise,"Fraise, crue",Fraise,Strawberry,"Strawberry, raw",en:strawberry,13014
Nappage à la fraise,Confiture de fraise (extra ou classique),Confiture de fraise,Strawberry filling,"Jam, strawberry",en:strawberry-filling,31024
Purée de fraise,"Fraise, crue",Fraise,Strawberry puree,"Strawberry, raw",en:strawberry-puree,13014
Sucre,Sucre blanc,Sucre,Sugar,"Sugar, white",en:sugar,31016
Cèpe d'été,"Champignon, cèpe, cru",Cèpe,Summer cep,"Cep or boletus mushroom, raw",en:summer-cep,20160
Tomates séchées au soleil,"Tomate, séchée","Tomate, séchée",Sundried tomatoes,"Tomato, dried",en:sundried-tomatoes,20189
Tournesol,"Tournesol, graine","Tournesol, graine",Sunflower,Sunflower seed,en:sunflower,15011
,Huile de tournesol,Huile de tournesol,Sunflower fat,Sunflower oil,en:sunflower-fat,17440
Miel de tournesol,Miel,Miel,Sunflower honey,Honey,en:sunflower-honey,31008
Lécithine de tournesol,Lécithine de soja,Lécithine de soja,Sunflower lecithin,Soy lecithin,en:sunflower-lecithin,42200
Huile de tournesol,Huile de tournesol,Huile de tournesol,Sunflower oil,Sunflower oil,en:sunflower-oil,17440
Graines de tournesol,"Tournesol, graine","Tournesol, graine",Sunflower seed,Sunflower seed,en:sunflower-seed,15011
Jambon cuit supérieur,"Jambon cuit, supérieur","Jambon cuit, supérieur",Superior cooked ham,"Cooked ham, superior quality",en:superior-cooked-ham,28900
Jambon cuit supérieur,"Jambon cuit, supérieur, avec couenne",Jambon,Superior cooked ham,"Cooked ham, superior quality, with rind",en:superior-cooked-ham,28901
Jambon cuit supérieur,"Jambon cuit, supérieur, découenné",Jambon,Superior cooked ham,"Cooked ham, superior quality, rind less",en:superior-cooked-ham,28902
Jambon cuit supérieur,"Jambon cuit, supérieur, découenné dégraissé",Jambon,Superior cooked ham,"Cooked ham, superior quality, rind less and fatless",en:superior-cooked-ham,28906
Semoule de blé dur de qualité supérieure,"Semoule de blé dur, crue","Semoule de blé dur, crue",Superior quality durum wheat semolina,"Durum wheat semolina, raw",en:superior-quality-durum-wheat-semolina,9610
Riz long grain complet étuvé de qualité supérieure,"Riz blanc étuvé, cru","Riz blanc étuvé, cru",Superior quality long grain parboiled brown rice,"Rice, parboiled, raw",en:superior-quality-long-grain-parboiled-brown-rice,9101
Surimi,"Surimi, bâtonnets, tranche ou râpé saveur crabe",Surimi,Surimi,"Surimi, on sticks, in slices or grated, crab flavour",en:surimi,26046
Sauce aigre-douce,"Sauce aigre douce, préemballée",Sauce aigre douce,Sweet and sour sauce,"Sweet and sour sauce, prepacked",en:sweet-and-sour-sauce,11163
Patate douce,"Patate douce, crue","Patate douce, crue",Sweet potato,"Sweet potato, raw",en:sweet-potato,4101
Maïs doux,"Maïs doux, en épis, cuit",Maïs épi,Sweetcorn,"Sweet corn, on the cob, cooked",en:sweetcorn,20049
Maïs doux,"Maïs doux, appertisé, égoutté",Maïs,Sweetcorn,"Sweet corn, canned, drained",en:sweetcorn,20066
Maïs doux,"Maïs doux, surgelé, cru",Maïs surgelé,Sweetcorn,"Sweet corn, frozen, raw",en:sweetcorn,20233
Maïs doux,"Maïs doux, en épis, surgelé, cru",Maïs épi,Sweetcorn,"Sweet corn, on the cob, frozen, raw",en:sweetcorn,20108
Lait concentré sucré,"Lait concentré sucré, entier","Lait concentré sucré, entier",Sweetened condensed milk,"Condensed milk, with sugar, whole",en:sweetened-condensed-milk,19027
Lait entier condensé sucré,"Lait concentré sucré, entier","Lait concentré sucré, entier",Sweetened condensed whole milk,"Condensed milk, with sugar, whole",en:sweetened-condensed-whole-milk,19027
Édulcorant,Édulcorant à base d'extrait de stévia,Stévia,Sweetener,Stevia sweetener,en:sweetener,31087
Édulcorant,Édulcorant à la saccharine,Édulcorant à la saccharine,Sweetener,Saccharin sweetener,en:sweetener,31064
Édulcorant,"Édulcorant à l'aspartame, en pastilles",Aspartame,Sweetener,"Aspartame sweetener, in tablets",en:sweetener,11506
Espadon,"Espadon, cru","Espadon, cru",Swordfish,"Swordfish, raw",en:swordfish,26082
Sirop,"Sirop à diluer, sucré","Sirop à diluer, sucré",Syrup,"Syrup, with sugar (to be diluted)",en:syrup,18017
Vinaigre de table,Vinaigre,Vinaigre,Table vinegar,Vinegar,en:table-vinegar,11018
Tahini,Tahin ou Purée de sésame,Tahin ou Purée de sésame,Tahini,Tahini (sesame paste),en:tahini,15203
Tamarin,"Tamarin, fruit mûr, pulpe, cru",Tamarin,Tamarind,"Tamarind, mature fruit, pulp, raw",en:tamarind,13080
Amidon de tapioca,Amidon de riz,Amidon de riz,Tapioca starch,Rice starch,en:tapioca-starch,96781
Estragon,"Estragon, frais",Estragon,Tarragon,"Tarragon, fresh",en:tarragon,11092
Feuille d'estragon,"Estragon, frais",Estragon,Tarragon leaves,"Tarragon, fresh",en:tarragon-leaves,11092
Riz thaï complet,"Riz complet, cru","Riz complet, cru",Thaï brown rice,"Rice, brown, raw",en:thai-brown-rice,9102
Riz thaï,"Riz thaï ou basmati, cru","Riz thaï ou basmati, cru",Thai rice,"Basmati rice, raw",en:thai-rice,9119
Thym,"Thym, séché","Thym, séché",Thyme,"Thyme, dried",en:thyme,11038
Thym,"Thym, frais",Thym,Thyme,"Thyme, fresh",en:thyme,11070
Miel de thym,Miel,Miel,Thyme honey,Honey,en:thyme-honey,31008
Thym en poudre,"Thym, frais",Thym,Thyme in powder,"Thyme, fresh",en:thyme-in-powder,11070
Noisettes grillées,Noisette grillée,Noisette grillée,Toasted hazelnut,"Hazelnut, grilled",en:toasted-hazelnut,15033
Tofu,"Tofu, nature",Tofu,Tofu,"Tofu, plain",en:tofu,20904
Tomate,"Tomate, crue",Tomate,Tomato,"Tomato, raw",en:tomato,20047
Tomates cubées,"Tomate, crue",Tomate,Tomato cubes,"Tomato, raw",en:tomato-cubes,20047
Jus de tomate,"Jus de tomate, pur jus (aliment moyen)",Jus de tomate,Tomato juice,"Tomato juice, pure juice (average)",en:tomato-juice,2053
Pulpe de tomate,"Tomate, pulpe, appertisée","Tomate, pulpe",Tomato pulp,"Tomato pulp, canned",en:tomato-pulp,20169
Tomme,Tomme ou tome de vache,Tomme ou tome,Tomme,"Tomme cheese, from cow's milk",en:tomme,12758
Tomme,Tomme ou tome de montagne ou de Savoie,Tomme ou tome de Savoie,Tomme,"Tomme cheese, from mountain or Savoy",en:tomme,12759
Huile de palme totalement hydrogénée,"Huile de palme, sans précision","Huile de palme, sans précision",Totally hydrogenated palm oil,Palm oil,en:totally-hydrogenated-palm-oil,16129
Noix,Noix du Brésil,Noix du Brésil,Tree nuts,Brazil nut,en:tree-nut,15008
Noix,"Noix de cajou, grillée, salée","Noix de cajou, grillée, salée",Tree nuts,"Cashew nut, grilled, salted",en:tree-nut,15019
Noix,Noix de pécan,Noix de pécan,Tree nuts,Pecan nut,en:tree-nut,15026
Noix,"Noix, séchée, cerneaux",Noix,Tree nuts,"Walnut, dried, husked",en:tree-nut,15005
Noix,Noix de macadamia,Noix de macadamia,Tree nuts,Macadamia nut,en:tree-nut,15027
Truite,"Truite saumonée, crue","Truite saumonée, crue",Trout,"Salmon trout, raw",en:trout,27021
Truite,"Truite arc en ciel, crue, élevage","Truite arc en ciel, crue",Trout,"Rainbow trout, raw, farmed",en:trout,27009
Truite,"Truite d'élevage, crue","Truite d'élevage, crue",Trout,"Trout, farmed, raw",en:trout,27008
Truite,"Truite de mer, crue","Truite de mer, crue",Trout,"Sea trout, raw",en:trout,26092
Rouget,"Grondin perlon, cru","Grondin perlon, cru",Tub gurnard,"Tub gurnard, raw",en:tub-gurnard,26219
Rouget,"Rouget-barbet de roche, cru","Rouget-barbet de roche, cru",Tub gurnard,"Surmullet or red mullet, raw",en:tub-gurnard,26085
Thon,"Thon germon ou thon blanc, cru","Thon germon ou thon blanc, cru",Tuna,"Albacore, raw",en:tuna,26076
Thon,"Thon rouge, cru","Thon rouge, cru",Tuna,"Atlantic bluefin tuna, raw",en:tuna,26069
Thon,"Thon listao ou Bonite à ventre rayé, cru","Thon listao ou Bonite à ventre rayé, cru",Tuna,"Skipjack tuna, raw",en:tuna,26068
Thon,"Thon albacore ou thon jaune, cru","Thon albacore ou thon jaune, cru",Tuna,"Yellowfin tuna, raw",en:tuna,26064
Thon,"Thon, cru","Thon, cru",Tuna,"Tuna, raw",en:tuna,26053
Turbot,"Turbot sauvage, cru","Turbot sauvage, cru",Turbot,"Turbot, raw, wild",en:turbot,26042
Turbot,"Turbot, cru","Turbot, cru",Turbot,"Turbot, raw",en:turbot,26174
Turbot,"Turbot d'élevage, cru","Turbot d'élevage, cru",Turbot,"Turbot, raw, farmed",en:turbot,26201
Dinde,"Dinde, cuisse, viande et peau, crue","Dinde, cuisse, viande et peau, crue",Turkey,"Turkey, leg, meat and skin, raw",en:turkey,36305
Dinde,"Dinde, escalope, crue","Dinde, escalope, crue",Turkey,"Turkey, escalope, raw",en:turkey,36304
Dinde,"Dinde, viande, crue","Dinde, viande, crue",Turkey,"Turkey, meat, raw",en:turkey,36301
Dinde,"Dinde, viande et peau, crue","Dinde, viande et peau, crue",Turkey,"Turkey, meat and skin, raw",en:turkey,36300
Dinde,"Dinde, aile, crue","Dinde, aile, crue",Turkey,"Turkey, wing, raw",en:turkey,36310
Dinde,"Dinde, cuisse, viande sans peau, crue","Dinde, cuisse, viande sans peau, crue",Turkey,"Turkey, leg, meat only, raw",en:turkey,36307
Viande de dinde,"Dinde, cuisse, viande sans peau, crue","Dinde, cuisse, viande sans peau, crue",Turkey meat,"Turkey, leg, meat only, raw",en:turkey-meat,36307
Viande de dinde,"Dinde, viande, crue","Dinde, viande, crue",Turkey meat,"Turkey, meat, raw",en:turkey-meat,36301
Curcuma,"Curcuma, poudre",Curcuma,Turmeric,"Turmeric, powder",en:turmeric,11089
Poudre de curcuma,"Curcuma, poudre",Curcuma,Turmeric powder,"Turmeric, powder",en:turmeric-powder,11089
Navet,"Navet, pelé, cru","Navet, pelé, cru",Turnip,"Turnip, peeled, raw",en:turnip,20064
Crème uht,"Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT","Crème de lait, 15 à 20% MG, légère, liquide, UHT",UHT cream,"Liquid cream, light, 15-20% fat, UHT",en:uht-cream,19430
Crème uht,"Crème de lait, 30% MG, semi-épaisse, UHT","Crème de lait, 30% MG, liquide, UHT",UHT cream,"Liquid cream 30% fat, UHT",en:uht-cream,19415
Lait stérilisé U.H.T,"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",Lait,UHT pasteurised milk,"Milk, fat content unknown, UHT sterilized",en:uht-pasteurised-milk,19039
Lait entier sterilisé uht,"Lait entier, UHT",Lait entier,UHT pasteurised whole milk,"Milk, whole, UHT",en:uht-pasteurised-whole-milk,19023
Lait écrémé stérilisé UHT,"Lait écrémé, UHT",Lait écrémé,UHT sterilised skimmed milk,"Milk, skimmed, UHT",en:uht-sterilised-skimmed-milk,19050
Beurre doux,"Beurre à 82% MG, doux",Beurre,Unsalted butter,"Butter, 82% fat, unsalted",en:unsalted-butter,16400
Extrait de vanille,"Vanille, extrait alcoolique","Vanille, extrait alcoolique",Vanilla extract,"Vanilla, alcoholic extract",en:vanilla-extract,11065
Extrait de vanille,"Vanille, extrait aqueux","Vanille, extrait aqueux",Vanilla extract,"Vanilla, aqueous extract",en:vanilla-extract,11098
Glace à la vanille,"Glace ou crème glacée, en bac",Glace,Vanilla ice cream,"Ice cream, in box",en:vanilla-ice-cream,39515
Glace à la vanille,"Glace ou crème glacée, gourmande, en bac",Glace,Vanilla ice cream,"Ice cream, luxury, in box",en:vanilla-ice-cream,39520
Glace à la vanille,"Glace ou crème glacée, bac ou pot (aliment moyen)",Glace,Vanilla ice cream,"Ice cream, box or cup (average)",en:vanilla-ice-cream,39527
Veau,"Veau, côte, crue","Veau, côte, crue",Veal,"Veal, chop, raw",en:veal,6510
Veau,"Veau, épaule, crue","Veau, épaule, crue",Veal,"Veal, shoulder, raw",en:veal,6560
Veau,"Veau, rôti, cru","Veau, rôti, cru",Veal,"Veal, roast, raw",en:veal,6550
Veau,"Veau, poitrine, crue","Veau, poitrine, crue",Veal,"Veal, breast, raw",en:veal,6540
Veau,"Veau, steak haché 15% MG, cru","Veau, steak haché 15% MG, cru",Veal,"Veal, minced steak, 15% fat, raw",en:veal,6536
Veau,"Veau, carré, cru","Veau, carré, cru",Veal,"Veal, loin, raw",en:veal,6513
Veau,"Veau, escalope, crue","Veau, escalope, crue",Veal,"Veal, escalope, raw",en:veal,6521
Veau,"Veau, noix, crue","Veau, noix, crue",Veal,"Veal, tenderloin, raw",en:veal,6522
Veau,"Veau, filet, cru","Veau, filet, cru",Veal,"Veal fillet, raw",en:veal,6530
Veau,"Veau, steak haché 20% MG, cru","Veau, steak haché 20% MG, cru",Veal,"Veal, minced steak, 20% fat, raw",en:veal,6535
Viande de veau,"Veau, viande, cuite (aliment moyen)",Veau,Veal meat,"Veal, meat, cooked (average)",en:veal-meat,6564
Légume,Légume cuit (aliment moyen),Légume,Vegetable,"Vegetable, cooked (average)",en:vegetable,20499
Bouillon végétal,"Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté",Bouillon,Vegetable broth,"Broth, stock or bouillon, meat and vegetables, defatted, dehydrated",en:vegetable-broth,25971
Matière grasse végétale,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux",Margarine,Vegetable fat,"Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted",en:vegetable-fat,16741
Matière grasse végétale,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal",Pro activ cuisine,Vegetable fat,"Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted, with plant sterols esters",en:vegetable-fat,16739
Matière grasse végétale,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3","Margarine, oméga 3",Vegetable fat,"Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted, rich in omega 3",en:vegetable-fat,16737
Matière grasse végétale,Matière grasse ou graisse végétale solide (type margarine) pour friture,Végétaline,Vegetable fat,"Solid vegetable fat (margarine type), for frying",en:vegetable-fat,16080
Matière grasse végétale,"Matière grasse végétale (type margarine) à 80% MG, salé",Margarine,Vegetable fat,"Vegetable fat (like margarine), 80% fat, salted",en:vegetable-fat,16614
Matière grasse végétale,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux",Margarine,Vegetable fat,"Vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted",en:vegetable-fat,16733
Matière grasse végétale,"Matière grasse végétale ou margarine, 80% MG, doux",Margarine,Vegetable fat,"Vegetable fat (margarine type), 80% fat, unsalted",en:vegetable-fat,16615
Matière grasse végétale,"Matière grasse végétale (type margarine), teneur réduite en matière grasse inconnue, doux (aliment moyen)",Margarine,Vegetable fat,"Fat spreadfat content unknown, unsalted (average)",en:vegetable-fat,16725
Matière grasse végétale,"Matière grasse végétale (type margarine) à 70% MG, doux",Margarine,Vegetable fat,"Vegetable fat (margarine type), 70% fat, unsalted",en:vegetable-fat,16616
Matière grasse végétale,"Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux",Margarine,Vegetable fat,"Vegetable fat (margarine type), 60% fat, unsalted, sunflowerseed",en:vegetable-fat,16654
Matière grasse végétale,"Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal",Pro activ tartine,Vegetable fat,"Vegetable fat (margarine type), spreadable, 30-40% fat, light, lightly salted, with plant sterols esters",en:vegetable-fat,16742
Matière grasse végétale,Matière grasse mélangée (végétale et laitière) à 50-63% MG,Le Fleurier,Vegetable fat,"Blended fat (vegetable and animal origins), 50-63% fat",en:vegetable-fat,16743
